Generation, Best Fitness, Best Genome
None,-inf,None
7,-4.32,052125126266145155301442536442406200145430604632353434631206353210113420101431530616150622306532005560534204216250500463253656532156655500421320665456162455042460543344414401641061254455250452002040031316466521654550304404500240054062064001135
19,3.0,440653420351455155301442536120063520604453404632343062033035056330616001514445422244433543434230425635464124216250500463253656532156655500421320665456162455042464543341454461641365130521324445562123303132405646313621340432615645111116225415646
25,3.8,440653430351165155301440536441406520404435415032353431663024656326525241341053014313156525206632005560534204216250500463253656562156655500466320665456162455042464543341414461641065130521324345562123303132405646313621340432665011112200645415646
30,4.0,440653460351465155301442532120043520404425415105511106160224656326535241341344310313156525222452005560534204216220500463253656632166655500426320665456162455042464543341414461641065130521324345562123353132405646313621340432665011151116225415646
49,7.2,440654443442165155301442536452402200145630654533343062033024652014616001341055011013656540034200525635114114415250500463253656332156355500421320665256162055042460543343454461641365130521354645562123303132425646310621340032665013162210445455546
49,7.2,440654443442165155301442536452402200145630654533343062033024652014616001341055011013656540034200525635114114415250500463253656332156355500421320665256162055042460543343454461641365130521354645562123303132425646310621340032665013162210445455546
49,7.2,440654443442165155301442536452402200145630654533343062033024652014616001341055011013656540034200525635114114415250500463253656332156355500421320665256162055042460543343454461641365130521354645562123303132425646310621340032665013162210445455546
79,7.8,450653402323465165351442536156406210145236614632343062033023626030636241344304310313166045222152125560536006216253020463053256535156655003442220665456162055042410543341254411641065130555324341162123353152405666413641340432615011160220223415546
79,7.8,450653402323465165351442536156406210145236614632343062033023626030636241344304310313166045222152125560536006216253020463053256535156655003442220665456162055042410543341254411641065130555324341162123353152405666413641340432615011160220223415546
79,7.8,450653402323465165351442536156406210145236614632343062033023626030636241344304310313166045222152125560536006216253020463053256535156655003442220665456162055042410543341254411641065130555324341162123353152405666413641340432615011160220223415546
79,7.8,450653402323465165351442536156406210145236614632343062033023626030636241344304310313166045222152125560536006216253020463053256535156655003442220665456162055042410543341254411641065130555324341162123353152405666413641340432615011160220223415546
79,7.8,450653402323465165351442536156406210145236614632343062033023626030636241344304310313166045222152125560536006216253020463053256535156655003442220665456162055042410543341254411641065130555324341162123353152405666413641340432615011160220223415546
79,7.8,450653402323465165351442536156406210145236614632343062033023626030636241344304310313166045222152125560536006216253020463053256535156655003442220665456162055042410543341254411641065130555324341162123353152405666413641340432615011160220223415546
79,7.8,450653402323465165351442536156406210145236614632343062033023626030636241344304310313166045222152125560536006216253020463053256535156655003442220665456162055042410543341254411641065130555324341162123353152405666413641340432615011160220223415546
149,12.4,140650443442165155351442532343406220145250244332343064033623656304636246304304110053166144222652125564636061016150520453055554034003654400426523661466562055342410540341204451641065130555362443512120154632405565314641340430565112461222223605166
149,12.4,140650443442165155351442532343406220145250244332343064033623656304636246304304110053166144222652125564636061016150520453055554034003654400426523661466562055342410540341204451641065130555362443512120154632405565314641340430565112461222223605166
149,12.4,140650443442165155351442532343406220145250244332343064033623656304636246304304110053166144222652125564636061016150520453055554034003654400426523661466562055342410540341204451641065130555362443512120154632405565314641340430565112461222223605166
149,12.4,140650443442165155351442532343406220145250244332343064033623656304636246304304110053166144222652125564636061016150520453055554034003654400426523661466562055342410540341204451641065130555362443512120154632405565314641340430565112461222223605166
149,12.4,140650443442165155351442532343406220145250244332343064033623656304636246304304110053166144222652125564636061016150520453055554034003654400426523661466562055342410540341204451641065130555362443512120154632405565314641340430565112461222223605166
197,15.6,451654643343165156351343232342106220143250244432343465033023023231336241004304610053465141122052425564636001066250120453052554034104654400426523661456562053642012440341264451644064146405362443512220155632405565314240640430555152461222223413642
197,15.6,451654643343165156351343232342106220143250244432343465033023023231336241004304610053465141122052425564636001066250120453052554034104654400426523661456562053642012440341264451644064146405362443512220155632405565314240640430555152461222223413642
197,15.6,451654643343165156351343232342106220143250244432343465033023023231336241004304610053465141122052425564636001066250120453052554034104654400426523661456562053642012440341264451644064146405362443512220155632405565314240640430555152461222223413642
197,15.6,451654643343165156351343232342106220143250244432343465033023023231336241004304610053465141122052425564636001066250120453052554034104654400426523661456562053642012440341264451644064146405362443512220155632405565314240640430555152461222223413642
197,15.6,451654643343165156351343232342106220143250244432343465033023023231336241004304610053465141122052425564636001066250120453052554034104654400426523661456562053642012440341264451644064146405362443512220155632405565314240640430555152461222223413642
242,17.6,451654605403165156354353232342356220343450251132343052033063215241246241004404610053266054121052125164636011066054121453050054532102353200426523651453532056342012445341254254640064141425362440512123154612465565314240340430555152665522223413242
259,18.2,451154641403165156351343232342356213143350251132343462003063210631246241300404614053466054124052125164636011066054121455053054032102353200466523451453462053641312440241164451643014146405063443542620154632465565314040340436015652441226213655666
265,22.2,451154645403165156354353232312356213143250251132343462003063210631246241000404610053466054124052125164636011066054121453050014034102353200422551651453462053443016440241164451643064146435063443542020154632465565316240600436515452441200033253542
265,22.2,451154645403165156354353232312356213143250251132343462003063210631246241000404610053466054124052125164636011066054121453050014034102353200422551651453462053443016440241164451643064146435063443542020154632465565316240600436515452441200033253542
281,22.4,451154645403165456151353232312351213145250251132343462003663210231246242004404610053206254224052105164636011066054121453050054034101353200426551611456562653443012440341250255643064146405063443542020164612465565314040320435165652441226113655262
