Generation, Best Fitness, Best Genome
None,-inf,None
9,1.2,636246113401116200361321324622441253030052625033355604041202103023203443346062300215106253165125060505302162433641144112114622461611303461360504553666403032525242410451366456126311631523514023233511113641634050404610511210134144000054652206112
19,1.8,266033451445160065345464335420601002034536021134355604031202103023203443346062300340216556662154661044440221612214100453103650136243443461360504553666433226330622311141366456126403441356002614156511113362451442332310511212134146000216504365364
27,4.4,035425013401140365545446240324245452410364625033355604041202103023203444133530004042111242362154660444604023612214100453623622461611333461360503532661203032525242410413142656126403441356002614156511113362451131214560443406634422244460400323063
30,4.6,351131113401140365545446240324240253410364625033355604041202103023203644133530004042111246362154660444634023610654106453103422461611333461360500535665203032330622311141366456126403441356002614156511113362451442332310541212143106000216504365364
30,4.6,351131113401140365545446240324240253410364625033355604041202103023203644133530004042111246362154660444634023610654106453103422461611333461360500535665203032330622311141366456126403441356002614156511113362451442332310541212143106000216504365364
55,6.4,035425013101160065045446240324245252416364625033355604041202103023253644133530003002111246362154661444104023612250203453114622401611333401360500535665203032330122311141666456126403441356006614156511112362451442332330543446234425234460400323561
55,6.4,035425013101160065045446240324245252416364625033355604041202103023253644133530003002111246362154661444104023612250203453114622401611333401360500535665203032330122311141666456126403441356006614156511112362451442332330543446234425234460400323561
55,6.4,035425013101160065045446240324245252416364625033355604041202103023253644133530003002111246362154661444104023612250203453114622401611333401360500535665203032330122311141666456126403441356006614156511112362451442332330543446234425234460400323561
89,7.6,055455032151030063045444640324245143416364621034355604041202403023006424123430450002125246062154061444104024612650203053112622401611333401360502331605003032330612351140266356122633412356006614156511462362451442332310546202133102234450400023063
93,9.4,055455032151030063045444340324245143416364621034356604041202403023056424123430450002425246062154061444104023612650203053112622431611333441363222335605203042330612311245266456426403441356006614156511412662554442332360546212143605234460401323035
109,10.6,205425013151210065045446224214245253416164625130355604050202103024056444133430453002125241651154060444104021616252103053112622401611333401360502135605205032330612351145214456123403411353006614154511112662554442332210546252143604234466401323035
119,13.6,205425013151210065045446224214235053416364625030355604040602103021056444133430450002125241651154060444104021613250603053212622401611333401363002335635203232322122351145256456122633411356106654126531412364451345332360546212143205234460401323065
119,13.6,205425013151210065045446224214235053416364625030355604040602103021056444133430450002125241651154060444104021613250603053212622401611333401363002335635203232322122351145256456122633411356106654126531412364451345332360546212143205234460401323065
119,13.6,205425013151210065045446224214235053416364625030355604040602103021056444133430450002125241651154060444104021613250603053212622401611333401363002335635203232322122351145256456122633411356106654126531412364451345332360546212143205234460401323065
148,16.8,055425212651140065045444260304241653416164625130355604040205103043026444153430453002615241651654001444104321616251603650113622401451234221660502335605203032630632351145264456122633411336106654156511312364451345332360546212243205204112401443015
152,17.0,055425212151210065045306244214235256416164625110355604000205103043056404132430050062125251651154060044104021616251603650113622201411334241363062331603203032333612351145264456222633411356116654156511312364451345032360546212243205204112401403015
167,19.2,055425212651210065045306224210135256410344625130355604040005103041051444533430056062105241651652061634104021216251606650153122401451234221660502425605023032630432331140264456162653411336106654156511012364451365352361546212143225224460410025063
173,23.0,055425214651140065045356244614335256416164625130355604040005103041001444533430050062125241651652061634304021216251606650153122401451234221360002335605203031350215351145254456122633452336106654156511312364451345332330546212043202204142401443055
187,23.6,055225014651150065015336244214235256113364625130355605040205503041051426533430050062105241651652061434102031206251606650153122401451234221362062335605263031350212351145264453122633412336106654156511315343650435320366544212143205204142401443015
197,34.4,055225414651150065045336244214235256613364625130355605044205103043051426533436056052105441651652061434102021213251606650153522401451234221362062335605263031350212351145266451122603412336106654156511315343650435332330546212163202204460401443015
207,42.0,255425404651150065045336224214255256113364625130355104040005500041051442533430056052105241651652064434104021216251656650122122401451224221362112355604003012330612353145254256122033412336116654156511342363454345332315544212143255224642411443315
216,47.0,255225014651150066045336224214255251615364025130355104040005500063051442533436046052102241651652061434104021216253606650153122401453234201060042335605205051350514451115264466112633111336106654136511315344551345332331544216143255204460401444155
227,51.2,255430410651150055005336223214255256113664625130355304040001402041654442533530056052165241051652064434104021266051656650153121401554234225400002335305206052332612353145251256122633111336506654156511312363452345332562544212153205204460401443315
238,56.4,253420410651350065005336223214255256115664025110355104040001502044054440533530046052165244051654064334404021266051656650153121401453234224400003335005202351350215351112264462122662411346506654152111312363654345332561544236143250204460461444155
248,67.6,250025015651350065005336223214255256115664025110355104040023502006054442533530056052165241051652064434104021266051656650153223401453234224400002335605256052332612353145254256112633112536106654136511316344654355312562540212642356224622410455055
257,73.6,253225014651350063005336223214255256155654625030355404040201502044054441533530046052165241054652064434104021266055626650153223401453234224400002335005202651332612351145254256112662413336536653152111312363654345312562540212642256224622411455055
257,73.6,253225014651350063005336223214255256155654625030355404040201502044054441533530046052165241054652064434104021266055626650153223401453234224400002335005202651332612351145254256112662413336536653152111312363654345312562540212642256224622411455055
257,73.6,253225014651350063005336223214255256155654625030355404040201502044054441533530046052165241054652064434104021266055626650153223401453234224400002335005202651332612351145254256112662413336536653152111312363654345312562540212642256224622411455055
257,73.6,253225014651350063005336223214255256155654625030355404040201502044054441533530046052165241054652064434104021266055626650153223401453234224400002335005202651332612351145254256112662413336536653152111312363654345312562540212642256224622411455055
